Address,X,Y,Price,Type,Size,Squaremeter price,Energy class,Url
Kildeskovsvej 4,55.742219,12.548772,11495000,Villa,156,73685,D,https://www.dingeo.dk/adresse/2820-gentofte/kildeskovsvej-4/
"Gentoftegade 33, 2. th",55.747898,12.541167,7495000,Ejerlejlighed,154,48668,C,https://www.dingeo.dk/adresse/2820-gentofte/gentoftegade-33/2-th/
Søgårdsvej 29,55.741973,12.536125,5495000,Villa,123,44674,F,https://www.dingeo.dk/adresse/2820-gentofte/s%C3%B8g%C3%A5rdsvej-29/
Kærvangen 10,55.738854,12.530516,7675000,Villa,107,71728,C,https://www.dingeo.dk/adresse/2820-gentofte/k%C3%A6rvangen-10/
Mosegårdsvej 86,55.748033,12.50951,8495000,Villa,224,37924,C,https://www.dingeo.dk/adresse/2820-gentofte/moseg%C3%A5rdsvej-86/
Herredsvej 24,55.751087,12.509288,6975000,Villa,108,64583,E,https://www.dingeo.dk/adresse/2820-gentofte/herredsvej-24/
"Ellebækvej 52, st. mf",55.740762,12.525785,1650000,Ejerlejlighed,51,32352,D,https://www.dingeo.dk/adresse/2820-gentofte/elleb%C3%A6kvej-52/st-mf/
Anemonevej 10B,55.741753,12.537825,9995000,Villa,182,54917,A2015,https://www.dingeo.dk/adresse/2820-gentofte/anemonevej-10b/
Ermelundsvej 32,55.758798,12.536747,8450000,Villa,160,52812,E,https://www.dingeo.dk/adresse/2820-gentofte/ermelundsvej-32/
"Brogårdsvej 26, 1.",55.753858,12.538587,6495000,Villalejlighed,109,59587,D,https://www.dingeo.dk/adresse/2820-gentofte/brog%C3%A5rdsvej-26/1-/
"Ermelundsvej 116A, 1.",55.764881,12.536765,7800000,Villalejlighed,157,49681,E,https://www.dingeo.dk/adresse/2820-gentofte/ermelundsvej-116a/1-/
Ved Bommen 45,55.749458,12.518777,3749000,Ejerlejlighed,111,33774,D,https://www.dingeo.dk/adresse/2820-gentofte/ved%20bommen-45/
Høeghsmindevej 63A,55.750358,12.549769,9495000,Villa,142,66866,C,https://www.dingeo.dk/adresse/2820-gentofte/h%C3%B8eghsmindevej-63a/
"Ellebækvej 62, 1. th",55.740685,12.525048,1595000,Ejerlejlighed,43,37093,D,https://www.dingeo.dk/adresse/2820-gentofte/elleb%C3%A6kvej-62/1-th/
"Smakkegårdsvej 161, st. th",55.760818,12.525201,3195000,Ejerlejlighed,87,36724,D,https://www.dingeo.dk/adresse/2820-gentofte/smakkeg%C3%A5rdsvej-161/st-th/
Søndersøvej 6A,55.760531,12.542464,10995000,Villa,170,64676,D,https://www.dingeo.dk/adresse/2820-gentofte/s%C3%B8nders%C3%B8vej-6a/
"Søndersøvej 33B, st. th",55.758627,12.535401,2150000,Ejerlejlighed,60,35833,C,https://www.dingeo.dk/adresse/2820-gentofte/s%C3%B8nders%C3%B8vej-33b/st-th/
"Vangede Bygade 50, st. th",55.750946,12.517934,1545000,Ejerlejlighed,53,29150,D,https://www.dingeo.dk/adresse/2820-gentofte/vangede%20bygade-50/st-th/
Mitchellsstræde 14,55.749106,12.539149,9595000,Villa,146,65719,C,https://www.dingeo.dk/adresse/2820-gentofte/mitchellsstr%C3%A6de-14/
Østerbakken 14,55.746885,12.529118,6199000,Villa,127,48811,E,https://www.dingeo.dk/adresse/2820-gentofte/%C3%B8sterbakken-14/
"Kærmindevej 27, st.",55.740533,12.541324,7295000,Villalejlighed,110,66318,D,https://www.dingeo.dk/adresse/2820-gentofte/k%C3%A6rmindevej-27/st-/
Tagestorp 1C,55.751116,12.552363,8500000,Villa,133,63909,C,https://www.dingeo.dk/adresse/2820-gentofte/tagestorp-1c/
Prins Valdemars Vej 6,55.757614,12.537174,12250000,Villa,183,66939,D,https://www.dingeo.dk/adresse/2820-gentofte/prins%20valdemars%20vej-6/
"Tværbommen 33, 1. th",55.751201,12.520431,3195000,Ejerlejlighed,83,38493,D,https://www.dingeo.dk/adresse/2820-gentofte/tv%C3%A6rbommen-33/1-th/
Parkovsvej 20,55.752621,12.549739,20500000,Villa,281,72953,E,https://www.dingeo.dk/adresse/2820-gentofte/parkovsvej-20/
"Ledreborg Alle 7, st.",55.743123,12.544215,9995000,Villalejlighed,147,67993,C,https://www.dingeo.dk/adresse/2820-gentofte/ledreborg%20alle-7/st-/
"Lyngbyvej 331, st.",55.740343,12.536013,4695000,Villalejlighed,105,44714,D,https://www.dingeo.dk/adresse/2820-gentofte/lyngbyvej-331/st-/
Bomporten 38,55.7504,12.523474,4995000,Rækkehus,100,49950,C,https://www.dingeo.dk/adresse/2820-gentofte/bomporten-38/
"Søgårdsvej 7B, st. th",55.745528,12.539444,2750000,Ejerlejlighed,52,52884,G,https://www.dingeo.dk/adresse/2820-gentofte/s%C3%B8g%C3%A5rdsvej-7b/st-th/
Smakkekrogen 2,55.756607,12.536619,11000000,Villa,199,55276,B,https://www.dingeo.dk/adresse/2820-gentofte/smakkekrogen-2/
"Fuglegårdsvej 8, 1.",55.74322,12.531371,5100000,Villalejlighed,113,45132,D,https://www.dingeo.dk/adresse/2820-gentofte/fugleg%C3%A5rdsvej-8/1-/
Ibstrupvej 7,55.764186,12.524552,6495000,Villa,160,40593,E,https://www.dingeo.dk/adresse/2820-gentofte/ibstrupvej-7/
"Jægersborgvej 110, st. tv",55.763517,12.521791,2750000,Ejerlejlighed,100,27500,E,https://www.dingeo.dk/adresse/2820-gentofte/j%C3%A6gersborgvej-110/st-tv/
Byledet 1,55.748199,12.527468,7495000,Villa,279,26863,E,https://www.dingeo.dk/adresse/2820-gentofte/byledet-1/
Rosenvej 11,55.743683,12.540191,14695000,Villa,170,86441,B,https://www.dingeo.dk/adresse/2820-gentofte/rosenvej-11/
Søager 25,55.743845,12.52795,8995000,Villa,140,64250,D,https://www.dingeo.dk/adresse/2820-gentofte/s%C3%B8ager-25/
Søager 7,55.743803,12.5312,8995000,Villa,152,59177,C,https://www.dingeo.dk/adresse/2820-gentofte/s%C3%B8ager-7/
"Fuglegårdsvej 8, st.",55.74322,12.531371,5495000,Villalejlighed,134,41007,D,https://www.dingeo.dk/adresse/2820-gentofte/fugleg%C3%A5rdsvej-8/st-/
"Ved Bommen 28, 2. 24",55.74999,12.519123,2995000,Ejerlejlighed,71,42183,F,https://www.dingeo.dk/adresse/2820-gentofte/ved%20bommen-28/2-24/
Sponnecksvej 27,55.749365,12.549033,14900000,Villa,157,94904,B,https://www.dingeo.dk/adresse/2820-gentofte/sponnecksvej-27/
Sønderbakken 19,55.744641,12.529445,10495000,Villa,142,73908,D,https://www.dingeo.dk/adresse/2820-gentofte/s%C3%B8nderbakken-19/
"Middelvej 8, 1.",55.750288,12.508252,5495000,Villalejlighed,109,50412,C,https://www.dingeo.dk/adresse/2820-gentofte/middelvej-8/1-/
Jahnsensvej 16,55.750475,12.54668,18995000,Villa,275,69072,D,https://www.dingeo.dk/adresse/2820-gentofte/jahnsensvej-16/
"Vangede Bygade 111, st. tv",55.748735,12.519719,1875000,Ejerlejlighed,51,36764,D,https://www.dingeo.dk/adresse/2820-gentofte/vangede%20bygade-111/st-tv/
Mosebuen 34,55.744282,12.518113,8750000,Villa,112,78125,D,https://www.dingeo.dk/adresse/2820-gentofte/mosebuen-34/
Toftekærsvej 76,55.748703,12.502961,7995000,Villa,153,52254,D,https://www.dingeo.dk/adresse/2820-gentofte/toftek%C3%A6rsvej-76/
"Snogegårdsvænget 2, st. th",55.74948,12.51669,2395000,Ejerlejlighed,61,39262,D,https://www.dingeo.dk/adresse/2820-gentofte/snogeg%C3%A5rdsv%C3%A6nget-2/st-th/
Bregentved Alle 9,55.74381,12.547254,14500000,Villa,204,71078,C,https://www.dingeo.dk/adresse/2820-gentofte/bregentved%20alle-9/
"Vangede Bygade 89, 2. mf",55.748893,12.519121,1250000,Ejerlejlighed,46,27173,D,https://www.dingeo.dk/adresse/2820-gentofte/vangede%20bygade-89/2-mf/
"Vangede Bygade 88, 1. th",55.749989,12.517918,3250000,Ejerlejlighed,92,35326,D,https://www.dingeo.dk/adresse/2820-gentofte/vangede%20bygade-88/1-th/
"Søtoften 22, 1.",55.754537,12.535918,5994000,Villalejlighed,99,60545,E,https://www.dingeo.dk/adresse/2820-gentofte/s%C3%B8toften-22/1-/
Sløjfen 22,55.760027,12.520897,4600000,Rækkehus,122,37704,C,https://www.dingeo.dk/adresse/2820-gentofte/sl%C3%B8jfen-22/
Sauntesvej 22,55.760796,12.532892,10995000,Villa,150,73300,C,https://www.dingeo.dk/adresse/2820-gentofte/sauntesvej-22/
